893	0	1
894	10	1
893	20	1
895	30	1
896	40	1
896	50	1
896	60	1
897	70	1
897	80	1
898	90	1
898	100	1
900	110	1
901	120	1
901	130	1
902	140	1
903	150	1
904	160	1
904	170	1
906	180	1
906	190	1
907	200	1
907	210	1
908	220	1
909	230	1
909	240	1
910	250	1
910	260	1
911	270	1
913	280	1
912	290	1
913	300	1
914	310	1
914	320	1
915	330	1
916	340	1
917	350	1
917	360	1
919	370	1
919	380	1
920	390	1
920	400	1
921	410	1
921	420	1
922	430	1
923	440	1
924	450	1
924	460	1
925	470	1
925	480	1
926	490	1
926	500	1
927	510	1
927	520	1
929	530	1
929	540	1
930	550	1
931	560	1
931	570	1
931	580	1
932	590	1
932	600	1
933	610	1
933	620	1
934	630	1
935	640	1
936	650	1
936	660	1
937	670	1
937	680	1
938	690	1
938	700	1
939	710	1
939	720	1
939	730	1
940	740	1
941	750	1
942	760	1
941	770	1
943	780	1
943	790	1
944	800	1
944	810	1
945	820	1
946	830	1
947	840	1
947	850	1
948	860	1
949	870	1
950	880	1
951	890	1
952	900	1
952	910	1
953	920	1
954	930	1
955	940	1
955	950	1
957	960	1
664	10	2
664	20	2
664	30	2
664	40	2
664	50	2
664	60	2
665	70	2
664	80	2
664	90	2
663	100	2
664	110	2
663	120	2
664	130	2
664	140	2
664	150	2
664	160	2
664	170	2
664	180	2
664	190	2
663	200	2
664	210	2
663	220	2
664	230	2
664	240	2
663	250	2
664	260	2
664	270	2
664	280	2
664	290	2
663	300	2
664	310	2
664	320	2
664	330	2
664	340	2
663	350	2
664	360	2
663	370	2
663	380	2
663	390	2
663	400	2
663	410	2
663	420	2
663	430	2
663	440	2
663	450	2
663	460	2
664	470	2
663	480	2
664	490	2
663	500	2
663	510	2
662	520	2
663	530	2
663	540	2
662	550	2
663	560	2
662	570	2
662	580	2
662	590	2
662	600	2
662	610	2
662	620	2
661	630	2
661	640	2
662	650	2
661	660	2
661	670	2
661	680	2
660	690	2
661	700	2
660	710	2
662	720	2
662	730	2
662	740	2
661	750	2
661	760	2
661	770	2
662	780	2
662	790	2
663	800	2
663	810	2
663	820	2
664	830	2
663	840	2
663	850	2
664	860	2
664	870	2
664	880	2
665	890	2
664	900	2
665	910	2
666	920	2
666	930	2
666	940	2
666	950	2
667	960	2
1053	90	3
1052	100	3
1053	110	3
1053	120	3
1053	130	3
1053	140	3
1053	160	3
1053	170	3
1054	180	3
1053	190	3
1054	200	3
1054	210	3
1054	220	3
1054	230	3
1054	240	3
1054	250	3
1054	260	3
1054	270	3
1054	280	3
1055	290	3
1054	300	3
1054	310	3
1054	320	3
1054	330	3
1054	340	3
1054	350	3
1054	360	3
1054	370	3
1054	380	3
1054	390	3
1054	400	3
1054	410	3
1054	420	3
1054	430	3
1054	440	3
1053	450	3
1053	460	3
1054	470	3
1053	480	3
1054	490	3
1054	500	3
1053	510	3
1054	520	3
1054	530	3
1053	540	3
1054	550	3
1053	560	3
1053	570	3
1053	580	3
1053	590	3
1054	600	3
1054	610	3
1053	620	3
1053	630	3
1053	640	3
1054	650	3
1054	660	3
1053	670	3
1054	680	3
1054	690	3
1054	700	3
1054	710	3
1054	720	3
1054	730	3
1055	740	3
1055	750	3
1056	760	3
1055	770	3
1056	780	3
1056	790	3
1056	800	3
1056	810	3
1056	820	3
1056	830	3
1057	840	3
1057	850	3
1057	860	3
1057	870	3
1058	880	3
1058	890	3
1058	900	3
1058	910	3
